CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75
Residual Sub Area,4,13I,13I,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DRG,DEER RIDGE,SOUTH,BUILT-OUT,1980s/1990s,2019,,3973,1510,414,0,0,1064,0,0,794,329,115,38,232,857,139,0,0,494,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,45,0,0,0,0,133,65,377,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109,0,0,0,0,468,265,1222,23,0,1,0,830,734,2220,23,1,1,1,227,546,353,283,36,1901,2059,136,259,113,106,258,319,232,225,181,72,133,249,91,93,287,332,277,275,194,128,269,508,204,199,545,651,509,500,375,200,0,0,0,0,0,0,0,0,0,0,0
Residential,1,HAY,HAYSBORO,SOUTH,BUILT-OUT,1950s,2019,,7080,3655,550,0,0,1834,0,0,1708,400,230,76,1240,1817,0,0,1774,9,0,55,0,0,0,0,0,0,0,13,1637,384,2556,124,0,0,2,32,0,54,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,23,1,0,0,1,1748,1442,4447,45,1,1,0,1262,1309,410,400,41,3499,3558,210,280,123,181,673,641,449,488,280,174,222,312,117,186,623,573,452,529,274,270,432,592,240,367,1296,1224,901,1017,554,444,10,0,0,0,0,0,10,0,0,0,0
Residential,1,BDO,BONAVISTA DOWNS,SOUTH,BUILT-OUT,1960s/1970s,2019,,928,378,15,0,0,292,0,0,176,69,29,8,96,368,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,292,912,11,0,0,0,54,151,87,68,0,488,437,31,49,22,20,66,100,63,66,46,25,28,45,12,15,61,84,59,75,37,21,59,94,34,35,127,184,122,141,83,46,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BRA,BRAESIDE,SOUTH,BUILT-OUT,1960s/1970s,2019,,5805,2562,456,0,0,1815,0,0,1433,358,171,69,529,1402,76,0,161,905,0,18,0,0,0,0,0,0,0,0,151,95,240,9,0,0,0,16,0,41,2,0,0,0,71,46,133,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,495,1814,45,0,0,0,1366,1179,3577,29,3,0,0,603,963,475,385,33,2842,2943,195,294,139,144,391,497,351,399,274,158,167,308,125,144,400,494,370,431,323,181,362,602,264,288,791,991,721,830,597,339,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13E,13E,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major Park,3,GPK,GLENMORE PARK,SOUTH,N/A,PARKS,2019,,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13G,13G,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,PUM,PUMP HILL,SOUTH,BUILT-OUT,1960s/1970s,2019,,1640,562,30,0,0,400,0,0,296,137,33,28,68,383,50,0,61,66,0,0,0,0,0,2,0,0,0,0,61,0,70,0,0,0,0,0,0,0,0,0,0,0,49,45,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,284,0,0,0,0,62,0,118,4,0,0,0,368,355,1085,12,1,0,2,127,223,64,104,18,747,891,22,83,41,33,46,52,90,94,159,127,20,86,28,22,39,65,95,111,186,239,42,169,69,55,85,117,185,205,345,366,0,0,0,0,0,0,0,0,0,0,0
Residential,1,EVE,EVERGREEN,SOUTH,DEVELOPING,BUILDING OUT,2019,,21500,7256,1697,0,0,5824,0,0,3597,1538,633,356,1130,5332,337,4,918,641,0,22,0,0,0,2,0,0,0,5,774,533,1295,56,74,9,0,20,0,46,2,0,0,1,333,277,825,2,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,258,0,0,0,0,615,397,1532,14,0,11,0,5251,4617,17540,75,0,3,2,990,1905,1432,2339,329,10530,10909,669,1811,668,639,1155,1669,1702,1234,632,351,594,1644,703,538,1166,1965,1754,1247,824,474,1263,3455,1380,1177,2321,3646,3472,2488,1456,825,44,0,0,9,0,0,12,16,7,0,0
